word_index	level	word	pinyin	pinyin_numbered	pinyin_cc-cedict	part_of_speech
1	1	爱	ài	ai4	ai4	动
2	1	八	bā	ba1	ba1	数
3	1	爸爸	bàba	ba4 ba5	ba4 ba5	名
4	1	吧	ba	ba5	ba5	助
5	1	白天	báitiān	bai2 tian1	bai2 tian1	名
6	1	百	bǎi	bai3	bai3	数
7	1	半	bàn	ban4	ban4	数
7	4	半	bàn	ban4	ban4	副
8	1	包子	bāozi	bao1 zi5	bao1 zi5	名
9	1	杯子	bēizi	bei1 zi5	bei1 zi5	名
10	1	本1	běn	ben3	ben3	量
11	1	边	biān	bian1	bian1	名、后缀
12	1	病	bìng	bing4	bing4	名、动
13	1	不	bù	bu4	bu4	副
14	1	不客气	búkèqi	bu2 ke4 qi5	bu4 ke4 qi5	
15	1	不要	búyào	bu2 yao4	bu4 yao4	副
16	1	菜	cài	cai4	cai4	名
17	1	茶	chá	cha2	cha2	名
18	1	唱	chàng	chang4	chang4	动
19	1	超市	chāoshì	chao1 shi4	chao1 shi4	名
20	1	车	chē	che1	che1	名
21	1	吃	chī	chi1	chi1	动
22	1	出租车	chūzūchē	chu1 zu1 che1	chu1 zu1 che1	名
23	1	穿	chuān	chuan1	chuan1	动
24	1	打电话	dǎdiànhuà	da3 dian4 hua4	da3 dian4 hua4	
25	1	大	dà	da4	da4	形
26	1	大家	dàjiā	da4 jia1	da4 jia1	代
27	1	大学	dàxué	da4 xue2	da4 xue2	名
28	1	大学生	dàxuéshēng	da4 xue2 sheng1	da4 xue2 sheng1	名
29	1	到	dào	dao4	dao4	动
30	1	的	de	de5	de5	助
31	1	第	dì	di4	di4	前缀
32	1	弟弟	dìdi	di4 di5	di4 di5	名
33	1	点1	diǎn	dian3	dian3	量
33	3	点1	diǎn	dian3	dian3	名
34	1	店	diàn	dian4	dian4	名
35	1	电话	diànhuà	dian4 hua4	dian4 hua4	名
36	1	电脑	diànnǎo	dian4 nao3	dian4 nao3	名
37	1	电视	diànshì	dian4 shi4	dian4 shi4	名
38	1	电影	diànyǐng	dian4 ying3	dian4 ying3	名
39	1	电影院	diànyǐngyuàn	dian4 ying3 yuan4	dian4 ying3 yuan4	名
40	1	东西	dōngxi	dong1 xi5	dong1 xi5	名
41	1	都	dōu	dou1	dou1	副
42	1	读	dú	du2	du2	动
43	1	读书	dúshū	du2 shu1	du2 shu1	动
44	1	对	duì	dui4	dui4	形、介
44	4	对	duì	dui4	dui4	动、量
45	1	对不起	duìbuqǐ	dui4 bu5 qi3	dui4 bu4 qi3	动
46	1	多	duō	duo1	duo1	形、动、代
46	2	多	duō	duo1	duo1	数、副
47	1	多少	duōshao	duo1 shao5	duo1 shao5	代
48	1	儿子	érzi	er2 zi5	er2 zi5	名
49	1	二	èr	er4	er4	数
50	1	饭	fàn	fan4	fan4	名
51	1	饭店	fàndiàn	fan4 dian4	fan4 dian4	名
52	1	房间	fángjiān	fang2 jian1	fang2 jian1	名
53	1	非常	fēicháng	fei1 chang2	fei1 chang2	副
54	1	飞机	fēijī	fei1 ji1	fei1 ji1	名
55	1	分	fēn	fen1	fen1	量
55	3	分	fēn	fen1	fen1	动、名
56	1	分钟	fēnzhōng	fen1 zhong1	fen1 zhong1	量
57	1	高兴	gāoxìng	gao1 xing4	gao1 xing4	形
58	1	歌	gē	ge1	ge1	名
59	1	哥哥	gēge	ge1 ge5	ge1 ge5	名
60	1	个	gè	ge4	ge4	量
61	1	给	gěi	gei3	gei3	动
61	2	给	gěi	gei3	gei3	介
62	1	公司	gōngsī	gong1 si1	gong1 si1	名
63	1	工作	gōngzuò	gong1 zuo4	gong1 zuo4	动、名
64	1	狗	gǒu	gou3	gou3	名
65	1	贵	guì	gui4	gui4	形
66	1	国	guó	guo2	guo2	名
67	1	还	hái	hai2	hai2	副
68	1	孩子	háizi	hai2 zi5	hai2 zi5	名
69	1	汉语	Hànyǔ	han4 yu3	han4 yu3	名
70	1	汉字	Hànzì	han4 zi4	han4 zi4	名
71	1	好	hǎo	hao3	hao3	形
71	2	好	hǎo	hao3	hao3	副
71	4	好	hǎo	hao3	hao3	动
72	1	好吃	hǎochī	hao3 chi1	hao3 chi1	形
73	1	好看	hǎokàn	hao3 kan4	hao3 kan4	形
74	1	好听	hǎotīng	hao3 ting1	hao3 ting1	形
75	1	好玩儿	hǎowánr	hao3 wanr2	hao3 wan2 r5	形
76	1	号	hào	hao4	hao4	名、量
77	1	喝	hē	he1	he1	动
78	1	和1	hé	he2	he2	介、连
79	1	很	hěn	hen3	hen3	副
80	1	后	hòu	hou4	hou4	名
81	1	回	huí	hui2	hui2	动
81	3	回	huí	hui2	hui2	量
82	1	会1	huì	hui4	hui4	动
83	1	火车	huǒchē	huo3 che1	huo3 che1	名
84	1	鸡蛋	jīdàn	ji1 dan4	ji1 dan4	名
85	1	几	jǐ	ji3	ji3	代、数
86	1	家	jiā	jia1	jia1	名、量
86	3	家	jiā	jia1	jia1	后缀
87	1	家人	jiārén	jiar1 en2	jia1 r5 en2	名
